mhd-term-id,mhd-term,mtbls-st4c,mw-term,gnps-term,mhd-instance-of,mtbls-instance-of,mw-instance-of,gnps-instance-of,mtbls-term-id,mtbls-term,comment
MS_1002674,X500R QTOF,AB SCIEX TripleTOF X500R,ABI Sciex X500R QTOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002719,Pegasus BT,LECO Pegasus BT TOFMS,Leco Pegasus BT,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001022,LECO Pegasus BT TOFMS,
MS_1002726,SYNAPT G2-Si,Waters SYNAPT G2-Si,Waters Synapt G2 Si QTOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002263,Waters SYNAPT G2-Si,
MS_1002727,MALDI SYNAPT G2-Si,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002728,Vion IMS QTof,Waters Vion IMS QTof,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002264,Waters Vion IMS QTof,
MS_1002729,Xevo G2-XS Tof,,Waters Xevo-G2-XS,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002730,Xevo TQ-XS,Waters Xevo TQ-XS,Waters Xevo TQ-XS,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000687,Waters Xevo TQ-XS,
MS_1002731,Xevo TQ-S micro,Waters Xevo TQ-S micro,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000686,Waters Xevo TQ-S micro,
MS_1002732,Orbitrap Fusion Lumos,Thermo Scientific Orbitrap Fusion Lumos Tribrid,Thermo Orbitrap Fusion Lumos Tribrid,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000656,Thermo Scientific Orbitrap Fusion Lumos Tribrid,
MS_1002783,6550 iFunnel Q-TOF LC/MS,Agilent 6550 iFunnel Q-TOF,Agilent 6550 QTOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000620,Agilent 6550 iFunnel Q-TOF,
MS_1002784,6550A iFunnel Q-TOF LC/MS,Agilent 6550A iFunnel Q-TOF,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002785,6520B Q-TOF LC/MS,Agilent 6520B Q-TOF,Agilent 6520B QTOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002786,6530A Q-TOF LC/MS,Agilent 6530A Accurate-Mass Q-TOF; Agilent G6530A Q-TOF,Agilent 6530A QTOF; Agilent G6530A,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000616,Agilent 6530A Accurate-Mass Q-TOF,
MS_1002787,6530B Q-TOF LC/MS,Agilent 6530B Accurate-Mass Q-TOF,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000617,Agilent 6530B Accurate-Mass Q-TOF,
MS_1002788,6538 Q-TOF LC/MS,Agilent 6538 Accurate-Mass Q-TOF,Agilent 6538 QTOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002096,Agilent 6538 Accurate-Mass Q-TOF,
MS_1002789,6540 Q-TOF LC/MS,Agilent 6540 Q-TOF,Agilent 6540 QTOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000618,Agilent 6540 Q-TOF,
MS_1002790,6542 Q-TOF LC/MS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002791,6545 Q-TOF LC/MS,Agilent 6545 Q-TOF,Agilent 6545 QTOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000619,Agilent 6545 Q-TOF,
MS_1002792,6560 Q-TOF LC/MS,Agilent 6560 Ion Mobility Q-TOF,Agilent 6560 Ion Mobility,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000621,Agilent 6560 Ion Mobility Q-TOF,
MS_1002793,6570 Q-TOF LC/MS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002794,6120B Quadrupole LC/MS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002795,6150 Quadrupole LC/MS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002796,6224 Time-of-Flight LC/MS,Agilent 6224 Accurate-Mass TOF,Agilent 6224 TOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000606,Agilent 6224 Accurate-Mass TOF,
MS_1002797,6230A Time-of-Flight LC/MS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002798,6230B Time-of-Flight LC/MS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002799,6430 Triple Quadrupole LC/MS,Agilent 6430 Triple Quadrupole,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000608,Agilent 6430 Triple Quadrupole,
MS_1002800,6495A Triple Quadrupole LC/MS,Agilent 6495A Triple Quadrupole,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000612,Agilent 6495A Triple Quadrupole,
MS_1002801,6495B Triple Quadrupole LC/MS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002802,7000A Triple Quadrupole GC/MS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002803,7000B Triple Quadrupole GC/MS,Agilent 7000B Triple Quadrupole,Agilent 7000B,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002804,7800 Quadrupole ICP-MS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002805,8800 Triple Quadrupole ICP-MS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002835,LTQ Orbitrap Classic,Thermo Scientific LTQ Orbitrap Classic,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000645,Thermo Scientific LTQ Orbitrap Classic,
MS_1002874,TSQ Altis,Thermo Scientific TSQ Altis,Thermo TSQ Altis,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002246,Thermo Scientific TSQ Altis,
MS_1002875,TSQ Quantis,,Thermo TSQ Quantis QQQ,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002876,TSQ 9000,Thermo Scientific TSQ 9000,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002245,Thermo Scientific TSQ 9000,
MS_1002877,Q Exactive HF-X,Thermo Scientific Q Exactive HF-X,Thermo Q Exactive HF-X Orbitrap,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002243,Thermo Scientific Q Exactive HF-X,
MS_1002992,Orbitrap Exploris GC-MS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002993,Q Exactive Focus,Thermo Scientific Q Exactive Focus,Thermo Q Exactive Focus,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000659,Thermo Scientific Q Exactive Focus,
MS_1002994,Orbitrap Excedion Pro,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1002998,LCMS-9030,Shimadzu LCMS-9030,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002217,Shimadzu LCMS-9030,
MS_1002999,LCMS-8060,Shimadzu LCMS-8060,Shimadzu LCMS-8060,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003000,LCMS-8050,Shimadzu LCMS-8050,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000637,Shimadzu LCMS-8050,
MS_1003001,LCMS-8045,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003002,LCMS-8040,Shimadzu LCMS-8040,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002216,Shimadzu LCMS-8040,
MS_1003003,LCMS-2020,Shimadzu LCMS-2020,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002213,Shimadzu LCMS-2020,
MS_1003004,maXis II,Bruker maXis II UHR-ToF,Bruker Daltonics maXis-II,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002114,Bruker maXis II UHR-ToF,
MS_1003005,timsTOF Pro,Bruker timsTOF Pro,Bruker timsTOF PRO,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002117,Bruker timsTOF Pro,
MS_1003028,Orbitrap Exploris 480,Thermo Scientific Orbitrap Exploris 480,Thermo Orbitrap Exploris 480,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003029,Orbitrap Eclipse,Thermo Scientific Orbitrap Eclipse Tribrid,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003094,Orbitrap Exploris 240,Thermo Scientific Orbitrap Exploris 240,Thermo Orbitrap Exploris 240,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002240,Thermo Scientific Orbitrap Exploris 240,
MS_1003095,Orbitrap Exploris 120,Thermo Scientific Orbitrap Exploris 120,Thermo Orbitrap Exploris 120,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002239,Thermo Scientific Orbitrap Exploris 120,
MS_1003096,Orbitrap Velos Pro,Thermo Scientific Velos Pro,Thermo Orbitrap Velos Pro; Thermo Velos Pro Orbitrap,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000666,Thermo Scientific Velos Pro,
MS_1003112,Orbitrap ID-X,Thermo Scientific Orbitrap ID-X Tribrid,Thermo Orbitrap ID-X Tribrid,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002241,Thermo Scientific Orbitrap ID-X Tribrid,
MS_1003122,rapifleX,Bruker rapifleX,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003124,timsTOF fleX,Bruker timsTOF fleX,Bruker timsTOF fleX,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003144,Triple Quad 7500,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003152,GCMS-QP2010SE,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003183,Synapt XS,Waters SYNAPT XS; Waters Synapt-XS,Waters Synapt-XS,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003184,SELECT SERIES Cyclic IMS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003185,SELECT SERIES MRT,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003229,timsTOF,Bruker timsTOF,Bruker timsTOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002116,Bruker timsTOF,
MS_1003230,timsTOF Pro 2,Bruker timsTOF Pro 2,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002118,Bruker timsTOF Pro 2,
MS_1003231,timsTOF SCP,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003245,Q Exactive UHMR,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003252,Xevo G2-XS QTof,Waters Xevo G2-XS QTof,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000682,Waters Xevo G2-XS QTof,
MS_1003292,TSQ Altis Plus,Thermo Scientific TSQ Altis Plus,Thermo TSQ Altis Plus,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002247,Thermo Scientific TSQ Altis Plus,
MS_1003293,ZenoTOF 7600,AB SCIEX ZenoTOF 7600,ABI Sciex 7600 ZenoTOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003356,Orbitrap Ascend,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003378,Orbitrap Astral,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003380,Xevo G3 QTof,Waters Xevo G3 QTof,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003381,ACQUITY RDa Detector,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003383,timsTOF Ultra,Bruker timsTOF Ultra,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003395,Q Exactive GC Orbitrap,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003397,timsTOF fleX MALDI-2,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003404,timsTOF HT,Bruker timsTOF HT,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003409,Stellar,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003411,Orbitrap IQ-X,Thermo Scientific Orbitrap IQ-X Tribrid,Thermo Orbitrap IQ-X Tribrid,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002242,Thermo Scientific Orbitrap IQ-X Tribrid,
MS_1003412,timsTOF Ultra 2,Bruker timsTOF Ultra 2,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003423,Orbitrap Exploris GC 240,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003442,Orbitrap Astral Zoom,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003443,ZenoTOF 8600,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003444,ZenoTOF 7600+,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003445,SCIEX 7500+,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003449,ISQ 7000,Thermo Scientific ISQ 7000,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003456,TripleTOF 6600+,AB SCIEX TripleTOF 6600+,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000604,AB SCIEX TripleTOF 6600+,
MS_1003457,Triple Quad 5500+,AB SCIEX Triple Quad 5500+,ABI Sciex Triple Quad 5500+,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002036,AB SCIEX Triple Quad 5500+,
MS_1003458,Triple Quad 5500+ QTRAP Ready,AB SCIEX Triple Quad 5500+ QTRAP Ready,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002037,AB SCIEX Triple Quad 5500+ QTRAP Ready,
MS_1003459,APEX-Qe,Bruker APEX-Qe 9.4T,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000622,Bruker APEX-Qe 9.4T,
MS_1003460,autoflex speed TOF/TOF,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003461,esquire 3000,Bruker Esquire 3000,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000625,Bruker Esquire 3000,
MS_1003462,maXis impact,Bruker maXis impact UHR-QTOF,Bruker maXis Impact qTOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000628,Bruker maXis impact UHR-QTOF,
MS_1003463,maXis impact HD,Bruker maXis impact HD UHR-QTOF,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002115,Bruker maXis impact HD UHR-QTOF,
MS_1003464,maXis 3G,Bruker maXis 3G,Bruker Daltonics maXis 3G,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003465,solariX XR,Bruker solariX XR,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001082,Bruker solariX XR,
MS_1003466,amaZon SL,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003467,EVOQ DART-TQ+,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003468,EVOQ LC-TQ,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003469,EVOQ GC-TQ,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003470,Toxtyper,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003471,impact II VIP,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003472,ecTOF,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003473,autoflex maX,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003474,rapifleX MALDI PharmaPulse,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003475,smartfleX,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003476,neofleX,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003477,MALDI Biotyper,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003478,scimaX,Bruker scimaX MRMS,Bruker scimaX MRMS,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000635,Bruker scimaX MRMS,
MS_1003479,timsMetabo,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003480,timsUltra AIP,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003481,timsOmni,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003482,timsTOF MALDI PharmaPulse,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003483,4000 GC/MS,Varian 4000 MSD,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001002,Varian 4000 MSD,
MS_1003484,210-MS GC/MS Ion Trap,Varian 210-MS GC Ion Trap,Varian 210-MS GC Ion Trap,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003485,LCMS-8030,Shimadzu LCMS-8030,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002214,Shimadzu LCMS-8030,
MS_1003486,LCMS-8030 Plus,Shimadzu LCMS-8030 Plus,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002215,Shimadzu LCMS-8030 Plus,
MS_1003487,GCMS-QP2010 Plus,Shimadzu GCMS-QP2010 Plus,Shimadzu QP2010 Plus,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003488,LCMS-8060NX,Shimadzu LCMS-8060NX,Shimadzu LCMS-8060NX,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003489,GCMS-TQ8050NX,Shimadzu GCMS-TQ8050 NX,Shimadzu TQ8050NX,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002303,Shimadzu GCMS-TQ8050 NX,
MS_1003490,GCMS-TQ8040NX,Shimadzu GCMS-TQ8040 NX,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000996,Shimadzu GCMS-TQ8040 NX,
MS_1003491,GCMS-TQ8040,Shimadzu GCMS-TQ8040,Shimazu TQ8040,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001024,Shimadzu GCMS-TQ8040,
MS_1003492,GCMS-QP5000,Shimadzu GCMS-QP5000,Shimadzu QP-5000,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001008,Shimadzu GCMS-QP5000,
MS_1003493,GCMS-QP2020,Shimadzu GCMS-QP2020,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000920,Shimadzu GCMS-QP2020,
MS_1003494,GCMS-QP2010 Ultra,Shimadzu GCMS-QP2010 Ultra,Shimadzu QP2010 Ultra,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000926,Shimadzu GCMS-QP2010 Ultra,
MS_1003495,Velos Pro,Thermo Scientific Orbitrap Velos Pro,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000657,Thermo Scientific Orbitrap Velos Pro,
MS_1003496,MALDI LTQ Orbitrap XL,Thermo Scientific MALDI LTQ Orbitrap XL,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001079,Thermo Scientific MALDI LTQ Orbitrap XL,
MS_1003497,MALDI LTQ Orbitrap Discovery,Thermo Scientific MALDI LTQ Orbitrap Discovery,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001081,Thermo Scientific MALDI LTQ Orbitrap Discovery,
MS_1003498,TSQ Quantum Access MAX,Thermo Scientific TSQ Quantum Access MAX,Thermo TSQ Quantum Access Max,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000663,Thermo Scientific TSQ Quantum Access MAX,
MS_1003499,LTQ Orbitrap Velos/ETD,Thermo Scientific LTQ Orbitrap Velos ETD,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000651,Thermo Scientific LTQ Orbitrap Velos ETD,
MS_1003500,ISQ LT,Thermo Scientific ISQ LT,Thermo ISQ LT,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000999,Thermo Scientific ISQ LT,
MS_1003501,ITQ,Thermo Scientific ITQ,Thermo ITQ,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003502,TSQ Quantum XLS,Thermo Scientific TSQ Quantum XLS,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001023,Thermo Scientific TSQ Quantum XLS,
MS_1003503,TSQ 8000,Thermo Scientific TSQ 8000,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001014,Thermo Scientific TSQ 8000,
MS_1003504,DeltaPlus IRMS,,Thermo DeltaPlus Isotope Ratio MS,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003505,ACQUITY QDa,Waters ACQUITY QDa,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002259,Waters ACQUITY QDa,
MS_1003506,LCT Premier,Waters LCT Premier,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000668,Waters LCT Premier,
MS_1003507,Quattro Premier XE,Waters Quattro Premier XE,Waters Quattro Premier XE,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000672,Waters Quattro Premier XE,
MS_1003508,Synapt G1 HDMS,Waters SYNAPT G1 HDMS System,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000673,Waters SYNAPT G1 HDMS System,
MS_1003509,Synapt G2-Si HDMS,Waters SYNAPT G2-Si HDMS,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000676,Waters SYNAPT G2-Si HDMS,
MS_1003510,Synapt G1,,Waters Synapt G1,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003511,Synapt G2 XS QTOF,,Waters Synapt G2 XS QTOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003512,Xevo TQ Absolute,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003513,Xevo TQ Absolute XR,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003514,5973 MSD,Agilent 5973 MSD,Agilent 5973,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001027,Agilent 5973 MSD,
MS_1003515,5973N MSD,Agilent 5973N MSD,Agilent 5973N,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000995,Agilent 5973N MSD,
MS_1003516,5975 MSD,Agilent 5975 MSD,Agilent 5975,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001009,Agilent 5975 MSD,
MS_1003517,5975B MSD,Agilent 5975B MSD,Agilent 5975B,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1003518,5975C inert XL MSD,Agilent 5975C inert XL MSD,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001026,Agilent 5975C inert XL MSD,
MS_1003519,5975C MSD,Agilent 5975C MSD,Agilent 5975C,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000994,Agilent 5975C MSD,
MS_1003520,5975T MSD,Agilent 5975T MSD,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002093,Agilent 5975T MSD,
MS_1003521,5977 MSD,Agilent 5977 MSD,Agilent 5977,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
