mhd-term-id,mhd-term,mtbls-st4c,mw-term,gnps-term,mhd-instance-of,mtbls-instance-of,mw-instance-of,gnps-instance-of,mtbls-term-id,mtbls-term,comment
MS_1000700,HCTultra ETD II,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000701,microflex LT,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000702,micrOTOF,Bruker micrOTOF,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000631,Bruker micrOTOF,
MS_1000703,micrOTOF-Q,Bruker micrOTOF-Q I,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000632,Bruker micrOTOF-Q I,
MS_1000704,micrOTOF-Q II,Bruker micrOTOF-Q II,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000633,Bruker micrOTOF-Q II,
MS_1000705,ultraflex III TOF/TOF,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000743,TSQ Quantum Ultra AM,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000748,SSQ 7000,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000749,TSQ 7000,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000750,TSQ,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000751,TSQ Quantum Ultra,Thermo Scientific TSQ Quantum Ultra,Thermo TSQ Quantum Ultra,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000664,Thermo Scientific TSQ Quantum Ultra,
MS_1000818,Acquity UPLC PDA,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000819,Acquity UPLC FLR,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000854,LTQ XL,Thermo Scientific LTQ XL linear ion trap,Thermo LTQ XL,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000653,Thermo Scientific LTQ XL linear ion trap,
MS_1000855,LTQ Velos,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
